,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,Killam,CA,1570398817,52.79,-111.86,55.91,41,0,14.14
1,Vaini,IN,1570398817,15.34,74.49,73.5,94,32,1.72
2,Fairbanks,US,1570398704,64.84,-147.72,34.0,86,90,5.82
3,Bahir Dar,ET,1570398818,11.59,37.39,56.06,90,100,3.96
4,Lufilufi,WS,1570398818,-13.87,-171.6,89.6,59,75,11.41
5,New Norfolk,AU,1570398372,-42.78,147.06,55.0,61,40,8.05
6,Butaritari,KI,1570398819,3.07,172.79,84.64,66,10,4.94
7,Rikitea,PF,1570398819,-23.12,-134.97,73.41,88,100,8.68
8,Bluff,AU,1570398819,-23.58,149.07,68.48,53,0,5.84
9,Itarema,BR,1570398426,-2.92,-39.92,78.4,70,0,13.2
10,Launceston,AU,1570398790,-41.43,147.14,52.0,81,37,5.82
11,Qaanaaq,GL,1570398820,77.48,-69.36,16.55,79,67,15.17
12,Sitka,US,1570398820,37.17,-99.65,68.0,40,98,15.01
13,Atuona,PF,1570398821,-9.8,-139.03,79.44,73,52,17.0
14,Rio Gallegos,AR,1570398821,-51.62,-69.22,51.8,27,75,31.09
15,Tongren,CN,1570398821,27.72,109.18,62.9,83,73,2.8
16,Manta,RO,1570398822,45.1,24.1,42.83,75,45,1.72
17,Ushuaia,AR,1570398822,-54.81,-68.31,33.67,94,100,8.46
18,Carnarvon,ZA,1570398822,-30.97,22.13,61.39,15,0,5.03
19,Port Alfred,ZA,1570398142,-33.59,26.89,64.99,90,90,1.01
20,Kaka,TM,1570398823,37.35,59.62,59.5,23,0,8.28
21,Hobart,AU,1570398804,-42.88,147.33,55.0,58,40,8.05
22,Kuhdasht,IR,1570398824,33.53,47.61,69.8,40,40,4.7
23,Nikolskoye,RU,1570398824,59.7,30.79,35.6,92,90,4.47
24,Mataura,NZ,1570398824,-46.19,168.86,48.99,85,84,3.0
25,Barrow,AR,1570398825,-38.31,-60.23,67.02,45,100,13.6
26,Port Elizabeth,US,1570398376,39.31,-74.98,73.4,68,90,8.05
27,Corinto,CO,1570398825,3.17,-76.26,77.0,78,75,10.29
28,Ancud,CL,1570398825,-41.87,-73.83,53.6,62,75,13.87
29,Boyolangu,ID,1570398732,-8.09,111.9,67.97,94,95,5.46
30,Punta Arenas,CL,1570398343,-53.16,-70.91,46.4,61,0,27.51
31,Yellowknife,CA,1570398826,62.45,-114.38,44.6,87,75,12.75
32,Vila Franca do Campo,PT,1570398371,37.72,-25.43,73.4,94,75,12.75
33,Hambantota,LK,1570398827,6.12,81.12,73.4,100,40,3.36
34,Los Llanos de Aridane,ES,1570398335,28.66,-17.92,73.4,69,75,14.99
35,Vostok,RU,1570398827,46.45,135.83,34.66,69,3,4.38
36,Matara,BI,1570398508,-3.48,29.48,52.49,91,49,2.42
37,Angatuba,BR,1570398828,-23.49,-48.41,66.66,75,4,16.2
38,Inongo,CD,1570398828,-1.93,18.29,72.42,95,33,1.21
39,Danane,CI,1570398829,7.26,-8.15,69.65,98,100,3.62
40,Thompson,CA,1570398829,55.74,-97.86,44.6,87,90,10.29
41,Constitucion,MX,1570398829,23.99,-104.67,77.0,25,40,9.17
